Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.166544779785204,-0.0149685354954151,-0.175639363682585,0,0,0,150.738658762702,1.45050599145453,0.0257841558527573,0.0141341146579768,0.53799497159813,-0.0167036000868276,1.75207985844135,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/base_link.STL,,st. lidar mounted part-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,2.5713776339753E-05,-0.112526124429538,7.18011637226429E-05,0,0,0,140.357056498504,0.156349262310722,0.000120004558843799,-0.000132718117351556,0.269360886360984,-1.4344844220023E-05,0.155458190090457,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_1.STL,,wheel-3,Origin_right_front_wheel2,Axis3,right_front_wheel,continuous,-0.25584,0.030598,-0.31908,0,-0.42439,3.1416,base_link,0,1,0,10,10,0,6.24,,,,,,,,
link_2,2.57137762453112E-05,-0.112526124428818,7.18011636879901E-05,0,0,0,140.357056499415,0.15634926231084,0.000120004558878933,-0.000132718117466613,0.269360886361404,-1.43448442214138E-05,0.155458190090766,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_2.STL,,wheel-4,Origin_right_back_wheel2,Axis4,right_back_wheel,continuous,-0.070756,0.030598,-0.31908,0,0.21622,3.1416,base_link,0,1,0,10,10,0,6.24,,,,,,,,
link_3,2.5713776181796E-05,-0.112526124428283,7.18011637134697E-05,0,0,0,140.357056500094,0.156349262310969,0.00012000455890453,-0.000132718117407678,0.26936088636172,-1.43448442265719E-05,0.155458190090957,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_3.STL,,wheel-1,Origin_left_front_wheel2,Axis1,left_front_wheel,continuous,-0.25584,-0.024997,-0.31908,0,-0.76081,0,base_link,0,1,0,10,10,0,6.24,,,,,,,,
link_4,2.57137761885406E-05,-0.112526124428341,7.18011637099447E-05,0,0,0,140.357056500021,0.156349262310955,0.000120004558901742,-0.000132718117415487,0.269360886361686,-1.43448442256035E-05,0.155458190090937,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_4.STL,,wheel-2,Origin_left_back_wheel2,Axis2,left_back_wheel,continuous,-0.070756,-0.024997,-0.31908,0,0.30744,0,base_link,0,1,0,10,10,0,6.24,,,,,,,,
link_5,-0.0200799823614145,-3.20495466103743E-05,0.00567272606006936,0,0,0,2.59097198613766,0.00163707671968947,4.05834569748E-06,-0.000187935606363205,0.00178436896126707,3.66965892711528E-06,0.00152277803547436,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_5.STL,,arm assembly-1/ARM_2_LINK-1,Origin_base_joint2,Axis5,base_joint,continuous,-0.2458,-0.1472,0,3.1416,0,1.5708,base_link,0,0,1,10,10,0,6.24,,,,,,,,
link_6,0.0419734207030258,0.240056643422739,0.103988160889993,0,0,0,3.11397900589646,0.0105893542585918,5.6511164525869E-08,-3.18900925698064E-08,0.00153774441920444,-9.98026406358191E-07,0.0112219847238024,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_6.STL,,arm_3_link-1,Origin_shoulder_joint2,Axis6,shoulder_joint,continuous,0,0,0.042239,-1.5708,1.0482,1.5708,link_5,0,0,1,10,10,0,6.24,,,,,,,,
link_7,1.65885532732446E-06,0.16725738983806,0.0588578977856613,0,0,0,3.01078180932307,0.00717136557548414,1.01381336321339E-07,2.0734451611804E-08,0.00137417115863493,-1.82688382332719E-05,0.00774289023463593,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_7.STL,,arm_4_link-1,Origin_elbow_joint2,Axis7,elbow_joint,continuous,0.041975,0.31418,0.10675,0,0,2.0904,link_6,0,0,1,10,10,0,6.24,,,,,,,,
link_8,-0.0858543822698208,-0.0557999112908276,-0.0797732522243653,0,0,0,4.37068575464211,0.00394924490624352,0.000633665917948952,0.000829826200053041,0.00432436117427707,-0.000567522159557799,0.00573354495320955,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_8.STL,,cygnus_utg_assy updated-1,Origin_tool_joint2,Axis8,tool_joint,continuous,0,0.23,0.030517,3.1416,0.5236,-1.5675,link_7,-0.5,0,-0.86603,10,10,0,6.24,,,,,,,,
link_9,-0.00449994286677297,-0.0155887179553093,-3.59350118429858E-05,0,0,0,0.0480833518283809,2.51444523479028E-05,-2.25271341933972E-06,-4.22764211638633E-08,5.10291199771401E-05,-1.79894029477722E-08,3.86814940097731E-05,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,/home/octobot/ros2_ws/src/arm_gazebo/meshes/link_9.STL,,MID PART-1,Origin_gimble_pan2,Axis9,gimble_pan,continuous,-0.2641,0.1766,0.037,-1.5708,0,1.5502,base_link,0,1,0,10,10,0,6.24,,,,,,,,
